,EQNR,DNB,NHY,NOKUSD
2024-06-05,0.1813958059989087,0.0928864393070788,0.057157832697485,0.1155004377112081
2024-06-06,0.17201663403356335,0.10094867602000289,0.08217474728044827,0.09626645682726043
2024-06-07,0.16899832345804858,0.10324172634731274,0.08395884889226471,0.09733014244148162
2024-06-10,0.15697695846228832,0.07699889718227475,0.09827325771568958,0.03651912164530007
2024-06-11,0.1516846036280721,0.0755354626229902,0.08944257528608299,0.04391323489975113
2024-06-12,0.1504885406638044,0.08368829859634486,0.11074898941734422,0.03758223723787757
2024-06-13,0.14203492612352647,0.08197689420584914,0.1121536440111852,0.044223732345499804
2024-06-14,0.14489313169293766,0.07990864223763981,0.11199590911648397,0.03896251059672267
2024-06-17,0.11891798132641558,0.09103943807518838,0.0952736171369403,0.054529360195313924
2024-06-18,0.11749117448035042,0.08500004557979152,0.10153545406753095,0.06355703834039422
2024-06-19,0.11724244749516467,0.08594524066446034,0.10045306460216774,0.06195135151432707
2024-06-20,0.12346643811811053,0.08789181219698165,0.10715684538306315,0.07688842445948317
2024-06-21,0.12381746000186579,0.08966731640639726,0.1089612202357067,0.07562942509446582
2024-06-24,0.12540524789507285,0.09653484521085988,0.11889432425807021,0.06765754862558494
2024-06-25,0.06260543410960714,0.10376978197724536,0.08652257937054153,0.09957752148875751
2024-06-26,0.06306489874330105,0.09452523900018295,0.0766371558024697,0.08280328107618778
2024-06-27,0.07550194653139718,0.12315214953298462,0.05876694626855222,0.03139750683655154
2024-06-28,0.07577540829243341,0.11907967546191614,0.06321940989982563,0.034620315527520366
2024-07-01,0.06757937871061914,0.12384558575726505,0.07122925466648226,0.030916828014285004
2024-07-02,0.07077489319536306,0.12480496069705936,0.07898493968517664,0.04569152959851121
2024-07-03,0.058909909449778364,0.1095605752600528,0.09534551936157726,0.04152739442052403
2024-07-04,0.06959810897385744,0.09685600653945035,0.09180346569180338,0.017768216779080928
2024-07-05,0.05540055164224768,0.09857826124592393,0.06948204091911625,0.01985960496168209
2024-07-08,0.07008655603635967,0.09937751887699732,0.07778751264947487,0.017145541362689958
2024-07-09,0.08024724235071858,0.12123826588868737,0.072394781383326,0.027224729621912372
2024-07-10,0.06456665429124502,0.1315479836696904,0.13360340925793512,0.0018770129313868161
2024-07-11,0.06318011806974011,0.13589529901934355,0.1344347032565246,-0.008898410567161646
2024-07-12,0.060442003818196456,0.13479835846631996,0.12512928793445147,-0.005846808853569606
2024-07-15,0.058277699679374254,0.13400735991190343,0.12313245002303377,-0.002711731911110314
2024-07-16,0.08647412651463225,0.1552047771747596,0.16527036341112805,0.005123411306234745
2024-07-17,0.11569645722624446,0.14492512497595,0.15967552867491863,0.020741457199962336
2024-07-18,0.09015150730852604,0.1429659216791932,0.15725554833180094,0.04320742643634557
2024-07-19,0.116053101600832,0.1319997792764476,0.19737563757744944,0.08970255314044738
2024-07-22,0.10546366315572844,0.09027817008381019,0.19796755725660173,0.07918739916839301
2024-07-23,0.11891041507393314,0.16942163987900466,0.22938315860659858,0.10322039017617024
2024-07-24,0.13264566147314982,0.165694880015372,0.2665953167682742,-0.027856269241076807
2024-07-25,0.11942541618558153,0.16783906835041018,0.2613393787620746,-0.03626034592656374
2024-07-26,0.11283630474710157,0.16874041901894768,0.2651078486171581,-0.02872315947124529
2024-07-29,0.09221998617207391,0.14339374243637712,0.2707817057270333,-0.04900310173170686
2024-07-30,0.1081927314011991,0.1400689773778262,0.2851239567253402,-0.05017168689216358
2024-07-31,0.17744809708121873,0.13593567082177424,0.31547771531273006,-0.0067300961093670255
2024-08-01,0.17443564573074882,0.15143143756613506,0.32908137875714816,-0.02244514011106897
2024-08-02,0.2587480008030096,0.23019610061598245,0.374126321676255,0.030331817570603367
2024-08-05,0.27501180342729364,0.22316645137315488,0.3695408882338004,0.03281856101429054
2024-08-06,0.26209268034432237,0.2116469235280085,0.3744429553576254,0.03948902555549385
2024-08-07,0.2956640366586866,0.26614105612414934,0.39876887161019564,0.08622669374284374
2024-08-08,0.31197843285497506,0.25110730662418124,0.38679411130896313,0.08506290721882089
2024-08-09,0.3169658704776409,0.2532717782659946,0.39142126833346463,0.0909630148056471
2024-08-12,0.37780566622290246,0.24263303756758525,0.395844147849585,0.10472986813255696
2024-08-13,0.42931386183970693,0.21304912655177008,0.47993374417870177,0.0942344968199528
2024-08-14,0.4271964588611861,0.19848231696608556,0.45902968381627307,0.08307853048095097
2024-08-15,0.44876022473464905,0.19123499546294445,0.456734387319312,0.08053643420224489
2024-08-16,0.47821130432069636,0.17037937272789147,0.43451498324175186,0.08145099425382422
2024-08-19,0.44518389008195913,0.15960627913329622,0.3805257768796025,0.05106348181038562
2024-08-20,0.47222687244687594,0.17147902844051466,0.3447195611673329,-0.020151870947026862
2024-08-21,0.4769310647195811,0.16304481834846077,0.3412505716072025,-0.03403996119188517
2024-08-22,0.44151272481882525,0.16794429815156706,0.3458608507279453,-0.06483535701125258
2024-08-23,0.45560063463002537,0.17708516064214067,0.36558653807721997,-0.09680679621461051
2024-08-26,0.5178613752114297,0.17447463643222857,0.4117532159542136,0.01185706197542052
2024-08-27,0.5210270192078542,0.17765885113071736,0.3928122597503138,0.05159770035572012
2024-08-28,0.5107954689208624,0.17734533679502432,0.4315978887842395,0.05701381896030172
2024-08-29,0.507464063817123,0.16888048054518542,0.41807295728151933,0.04964048804968223
2024-08-30,0.5233729186743233,0.16699922968526104,0.40312714246638365,0.049623958712241255
2024-09-02,0.5280521654901111,0.17796421666180068,0.3888567065376764,0.13275554281891017
2024-09-03,0.5775554503659316,0.23855645283267413,0.4793306337789318,0.09745364149958195
