,Actual,Fitted
2017-10-12,56.25,58.37149965668323
2017-10-13,57.16999816894531,58.38021789416962
2017-10-16,57.81999969482422,58.406372606626974
2017-10-17,57.880001068115234,58.415090844113365
2017-10-18,58.150001525878906,58.42380908159885
2017-10-19,57.22999954223633,58.43252731908524
2017-10-20,57.75,58.44124555657163
2017-10-23,57.369998931884766,58.467400269028985
2017-10-24,58.33000183105469,58.47611850651538
2017-10-25,58.439998626708984,58.48483674400086
2017-10-26,59.29999923706055,58.49355498148725
2017-10-27,60.439998626708984,58.50227321897273
2017-10-30,60.900001525878906,58.528427931431
2017-10-31,61.369998931884766,58.53714616891739
2017-11-01,61.290000915527344,58.54586440640287
2017-11-02,60.619998931884766,58.55458264388926
2017-11-03,62.06999969482422,58.563300881374744
2017-11-06,64.2699966430664,58.58945559383301
2017-11-07,63.689998626708984,58.5981738313194
2017-11-08,63.4900016784668,58.60689206880488
2017-11-09,63.93000030517578,58.61561030629127
2017-11-10,63.52000045776367,58.624328543776755
2017-11-13,63.15999984741211,58.65048325623502
2017-11-14,62.209999084472656,58.65920149372141
2017-11-15,61.869998931884766,58.667919731206894
2017-11-16,61.36000061035156,58.676637968693285
2017-11-17,62.720001220703125,58.68535620617877
2017-11-20,62.220001220703125,58.71151091863703
2017-11-21,62.56999969482422,58.72022915612342
2017-11-22,63.31999969482422,58.728947393608905
2017-11-23,63.31999969482422,58.7376656310953
2017-11-24,63.86000061035156,58.74638386858078
2017-11-27,63.84000015258789,58.77253858103904
2017-11-28,63.61000061035156,58.781256818525435
2017-11-29,63.11000061035156,58.78997505601092
2017-11-30,63.56999969482422,58.79869329349731
2017-12-01,63.4900016784668,58.80741153098279
2017-12-04,62.45000076293945,58.833566243441055
2017-12-05,62.86000061035156,58.84228448092654
2017-12-06,61.220001220703125,58.85100271841293
2017-12-07,62.20000076293945,58.85972095589932
2017-12-08,63.400001525878906,58.8684391933848
2017-12-11,64.69000244140625,58.89459390584307
2017-12-12,63.34000015258789,58.90331214332855
2017-12-13,62.439998626708984,58.91203038081494
2017-12-14,63.310001373291016,58.92074861830133
2017-12-15,63.22999954223633,58.92946685578681
2017-12-18,63.40999984741211,58.95562156824508
2017-12-19,63.79999923706055,58.96433980573056
2017-12-20,64.55999755859375,58.97305804321695
2017-12-21,64.9000015258789,58.981776280702434
2017-12-22,65.25,58.990494518188825
2017-12-25,65.25,59.01664923064709
2017-12-26,67.0199966430664,59.02536746813257
2017-12-27,66.44000244140625,59.03408570561896
2017-12-28,66.72000122070312,59.042803943104445
2017-12-29,66.5999984741211,59.05152218059084
2018-01-01,66.5999984741211,59.0776768930491
2018-01-02,66.56999969482422,59.086395130534584
2018-01-03,67.83999633789062,59.095113368020975
2018-01-04,68.06999969482422,59.10383160550646
2018-01-05,67.62000274658203,59.11254984299285
2018-01-08,67.77999877929688,59.13870455545111
2018-01-09,68.81999969482422,59.147422792936595
2018-01-10,69.19999694824219,59.15614103042299
2018-01-11,69.26000213623047,59.16485926790847
2018-01-12,69.87000274658203,59.17357750539486
2018-01-15,69.87000274658203,59.199732217853125
2018-01-16,69.1500015258789,59.20845045533861
2018-01-17,69.37999725341797,59.217168692825
2018-01-18,69.30999755859375,59.22588693031048
2018-01-19,68.61000061035156,59.23460516779687
2018-01-22,69.02999877929688,59.26075988025514
2018-01-23,69.95999908447266,59.26947811774062
2018-01-24,70.52999877929688,59.27819635522701
2018-01-25,70.41999816894531,59.28691459271249
2018-01-26,70.5199966430664,59.29563283019888
2018-01-29,69.45999908447266,59.32178754265624
2018-01-30,69.0199966430664,59.33050578014263
2018-01-31,69.05000305175781,59.33922401762902
2018-02-01,69.08000183105469,59.3479422551145
2018-02-02,68.58000183105469,59.356660492600895
2018-02-05,67.62000274658203,59.38281520505825
2018-02-06,66.86000061035156,59.39153344254464
2018-02-07,65.51000213623047,59.40025168003103
2018-02-08,64.80999755859375,59.408969917516515
2018-02-09,62.790000915527344,59.41768815500291
2018-02-12,62.59000015258789,59.44384286746026
2018-02-13,62.720001220703125,59.45256110494665
2018-02-14,64.36000061035156,59.461279342432135
2018-02-15,64.33000183105469,59.46999757991853
2018-02-16,64.83999633789062,59.47871581740492
2018-02-19,64.83999633789062,59.50487052986227
2018-02-20,65.25,59.513588767348665
2018-02-21,65.41999816894531,59.52230700483415
2018-02-22,66.38999938964844,59.53102524232054
2018-02-23,67.30999755859375,59.53974347980693
2018-02-26,67.5,59.565898192264285
2018-02-27,66.62999725341797,59.57461642975068
2018-02-28,65.77999877929688,59.58333466723616
2018-03-01,65.70999908447266,59.59205290472255
2018-03-02,64.37000274658203,59.60077114220803
2018-03-05,65.54000091552734,59.6269258546663
2018-03-06,65.79000091552734,59.63564409215269
2018-03-07,64.33999633789062,59.64436232963817
2018-03-08,63.61000061035156,59.65308056712456
2018-03-09,65.48999786376953,59.661798804610044
2018-03-12,64.94999694824219,59.68795351706831
2018-03-13,64.63999938964844,59.6966717545547
2018-03-14,64.88999938964844,59.70538999204018
2018-03-15,65.12000274658203,59.71410822952657
2018-03-16,66.20999908447266,59.722826467012055
2018-03-19,66.05000305175781,59.74898117947032
2018-03-20,67.41999816894531,59.75769941695671
2018-03-21,69.47000122070312,59.76641765444219
2018-03-22,68.91000366210938,59.775135891928585
2018-03-23,70.44999694824219,59.78385412941407
2018-03-26,70.12000274658203,59.81000884187233
