Price,Close,High,Low,Open,Volume
Ticker,DNB.OL,DNB.OL,DNB.OL,DNB.OL,DNB.OL
2021-12-21,140.1288299560547,140.1646890622774,139.0889815315728,139.77026077915315,662988
2021-12-22,140.7384033203125,140.7384033203125,139.62683667243476,140.66668510716053,695145
2021-12-23,141.59896850585938,141.9933967966048,140.91768924511535,141.52726123469125,742061
2021-12-27,142.20855712890625,142.49540813245648,140.8101393369362,141.59898506803154,473652
2021-12-28,144.35997009277344,144.35997009277344,141.81412644343555,142.42369849421513,449048
2021-12-29,144.7902374267578,144.7902374267578,143.24839425613516,144.2165354654698,757996
2021-12-30,144.86195373535156,145.22052292776578,143.57110245412764,144.5751027584855,583437
2022-01-03,146.15280151367188,146.2245087848381,144.57509929339534,145.57908863102685,586885
2022-01-04,146.5830841064453,147.22851522994537,145.43566923577328,146.7265205401099,991780
2022-01-05,146.65480041503906,148.9496410691867,146.0093802426006,146.94165139330875,1014903
2022-01-06,146.79823303222656,147.30022773990547,144.0013975589699,145.5790999013881,690817
2022-01-07,150.0253448486328,150.0253448486328,147.51536055307793,147.58707876715903,937787
2022-01-10,150.1687774658203,151.02935230501075,149.37993178678062,150.95763408752364,743469
2022-01-11,149.88192749023438,150.45564040600246,148.3042251788699,150.45564040600246,1113648
2022-01-12,152.03334045410156,153.75446823312032,151.10105834768993,151.8899149629606,892853
2022-01-13,154.54330444335938,155.11701727483697,152.1050385879072,152.17674585267807,915257
2022-01-14,154.04132080078125,155.54730478027534,153.32418244597562,154.68674094304114,897619
2022-01-17,154.4716033935547,155.547310968559,153.5393322493483,154.4716033935547,611166
2022-01-18,154.4716033935547,155.11703450415527,153.8979014410164,154.9736090160207,918240
2022-01-19,153.46762084960938,155.2604668875721,153.0373334234328,154.11304104621044,1165284
2022-01-20,153.46762084960938,154.11304104621044,152.7504824344243,153.46762084960938,926028
2022-01-21,150.8859100341797,152.2484795150883,150.8859100341797,151.88991032684865,471344
2022-01-24,145.4356689453125,151.3879198226089,145.4356689453125,150.59906320968324,1252068
2022-01-25,149.3799285888672,150.7424871506431,146.65480052265198,147.0133697170839,1378142
2022-01-26,151.60305786132812,153.39590391428925,149.95364824673499,150.59906844873544,1318847
2022-01-27,151.53135681152344,152.60706448750304,150.38393091341283,150.45564913554387,1091664
2022-01-28,150.4556427001953,151.74649404469088,147.44366352481492,151.31620661563773,1325349
2022-01-31,151.10105895996094,151.74649008670596,149.66678215741237,151.2444844516831,1057737
2022-02-01,155.9058837890625,155.9058837890625,152.17676629744864,152.2484845145169,925845
2022-02-02,155.04531860351562,157.12502651183777,154.4716056997487,156.33616990132532,1107738
2022-02-03,154.6150360107422,155.9775945284079,153.3958920350104,155.26045616276005,1077122
2022-02-04,153.25247192382812,156.1927437031428,153.25247192382812,155.26046160657984,1136035
2022-02-07,155.11703491210938,155.69074780881985,153.3241889490537,155.11703491210938,1088725
2022-02-08,155.11703491210938,158.1290139415102,154.3998965268871,155.61902959323228,1698190
2022-02-09,152.89390563964844,155.33218278036773,151.31620333839695,155.26046456285752,1960741
2022-02-10,151.3162078857422,153.10905395073914,148.6627978980795,150.0253565304116,1754543
2022-02-11,152.03334045410156,153.25247354279514,149.52335605981216,149.52335605981216,1987924
2022-02-14,152.1050567626953,153.03732791474712,149.0213594998665,150.4556362786089,1694396
2022-02-15,152.5353240966797,153.10903696235457,150.74247823060998,151.8181857502518,1076128
2022-02-16,151.1727752685547,153.32419044521535,149.8102057577382,153.03732852272918,1376839
2022-02-17,149.73849487304688,151.53134081036146,149.4516329574786,151.029346136446,709155
2022-02-18,149.88192749023438,150.24049669475647,148.662794383392,149.88192749023438,1184467
2022-02-21,146.5830841064453,150.2404943116218,145.29224374477224,150.2404943116218,1661469
2022-02-22,148.4476318359375,148.59105731101462,143.28423813452432,144.2882274027266,1376416
2022-02-23,148.30421447753906,149.37992201348447,146.36794310136992,147.013363245872,1017417
2022-02-24,137.86985778808594,145.93766481079578,135.57501709015895,142.85396749358284,2574097
2022-02-25,141.993408203125,142.35197741575914,138.0850059739455,140.12884392036182,2819112
2022-02-28,141.34799194335938,141.34799194335938,138.19257621849297,138.76628916325635,2551622
2022-03-01,137.9057159423828,143.21253570353107,137.8339977256118,141.49140792766232,1349223
2022-03-02,138.19256591796875,140.37984020159655,136.86586645867305,138.04914042813454,1884754
2022-03-03,137.6188507080078,141.2404017145687,137.6188507080078,139.16070479019206,1608241
2022-03-04,132.7064666748047,136.79415347612195,132.2044719698471,136.79415347612195,1634303
2022-03-07,131.3797607421875,132.5988939083611,126.57493535628898,130.48333768725627,2179896
2022-03-08,129.9454803466797,133.67459796600068,128.72634721341413,129.08491642570775,2179921
2022-03-09,136.57901000976562,136.83001283403203,132.7423260252936,133.38774622674458,1953884
2022-03-10,136.0052947998047,137.69057443690522,133.28017760153858,136.72243320833024,1450903
2022-03-11,137.6188507080078,139.4834148725728,133.56702323916033,135.89772297353494,1619153
2022-03-14,140.84597778320312,140.91769600047238,137.86985779181077,138.33599337607004,1660105
2022-03-15,137.43955993652344,141.5631054351049,135.71843227939803,140.91768529934853,1328240
2022-03-16,142.1368408203125,143.32012584688292,137.9774355568487,139.84199993302144,2138367
2022-03-17,141.88583374023438,147.08508702748722,140.91769254416334,145.5790920430797,1852488
2022-03-18,140.95355224609375,142.2085444241692,140.84597492237495,142.17268531626294,3123171
2022-03-21,144.07310485839844,144.86196150106386,141.3838357711262,141.3838357711262,1306003
2022-03-22,145.9376678466797,146.86994997723053,143.28425789254553,144.79024200251493,991338
2022-03-23,143.1408233642578,146.6547970084212,143.1408233642578,146.36794603681474,1396856
2022-03-24,147.228515625,147.228515625,142.6388233020059,143.10496982733957,2133186
2022-03-25,145.57908630371094,147.37193219415073,144.79022973485226,147.01336301606275,1198453
2022-03-28,146.5830841064453,147.44365893777874,145.29224374477224,145.43566923577328,944857
2022-03-29,147.08509826660156,148.73450792273806,145.93767238674087,147.7305184848581,1196452
2022-03-30,146.15280151367188,147.22850906513267,144.43166286573677,147.08508358013717,1241419
2022-03-31,143.4993896484375,147.37193240013502,143.4993896484375,146.86993773864282,1804145
2022-04-01,144.7902374267578,145.8659450181681,143.28425336438153,144.14481724897706,1365971
2022-04-04,141.49142456054688,143.92969102009954,141.0611370946659,143.0691270310024,1919010
2022-04-05,139.87783813476562,141.2762557365184,138.5152686965822,140.95354566575435,1556406
2022-04-06,137.1527099609375,141.7423910413887,137.1527099609375,141.59896555937388,1649814
2022-04-07,138.73043823242188,139.01730019304995,136.39973814781035,137.40373859601118,1413734
2022-04-08,142.38783264160156,143.3918220325255,139.8061300039919,140.5591275185167,1325555
2022-04-11,142.02926635742188,144.21654072830816,141.527271651644,142.42369467719874,1186364
2022-04-12,140.52325439453125,142.42367754571245,139.59097237156146,141.41967731225938,1362179
2022-04-13,141.2045440673828,142.10096705141308,140.45155751492808,141.27626228317058,722461
2022-04-19,139.232421875,142.06512742900586,138.26429155962862,142.06512742900586,1947709
